Datetime,January,February,March,April,May,June,July,August,September,October,November,December,day,Sunday,Monday,Thuesday,Wednesday,Thursday,Friday,Saturday,Volume,Open,High,Low,Close
2010-03-31 16:20:00,0,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,90,93.471,93.489,93.445,93.471
2010-03-31 16:30:00,0,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,119,93.469,93.471,93.434,93.447
2010-03-31 16:40:00,0,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,49,93.450,93.459,93.434,93.440
2010-03-31 16:50:00,0,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,89,93.442,93.459,93.433,93.459
2010-03-31 17:00:00,0,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,123,93.462,93.522,93.457,93.497
2010-03-31 17:10:00,0,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,83,93.494,93.507,93.484,93.488
2010-03-31 17:20:00,0,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,104,93.485,93.485,93.445,93.469
2010-03-31 17:30:00,0,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,56,93.471,93.481,93.453,93.453
2010-03-31 17:40:00,0,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,54,93.456,93.463,93.443,93.454
2010-03-31 17:50:00,0,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,48,93.456,93.489,93.452,93.452
2010-03-31 18:00:00,0,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,90,93.452,93.482,93.434,93.468
2010-03-31 18:10:00,0,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,120,93.466,93.510,93.450,93.504
2010-03-31 18:20:00,0,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,179,93.502,93.520,93.482,93.498
2010-03-31 18:30:00,0,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,216,93.500,93.590,93.500,93.518
2010-03-31 18:40:00,0,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,100,93.516,93.528,93.504,93.524
2010-03-31 18:50:00,0,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,105,93.528,93.602,93.528,93.594
2010-03-31 19:00:00,0,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,142,93.590,93.622,93.588,93.600
2010-03-31 19:10:00,0,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,158,93.598,93.618,93.558,93.562
2010-03-31 19:20:00,0,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,70,93.558,93.570,93.526,93.562
2010-03-31 19:30:00,0,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,43,93.558,93.570,93.554,93.570
2010-03-31 19:40:00,0,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,165,93.574,93.642,93.564,93.610
2010-03-31 19:50:00,0,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,334,93.614,93.640,93.522,93.522
