Datetime,Volume_x,Open_x,High_x,Low_x,Close_x,Rate_x,Volume_y,Open_y,High_y,Low_y,Close_y,Rate_y,Volume_x,Open_x,High_x,Low_x,Close_x,Rate_x,Volume_y,Open_y,High_y,Low_y,Close_y,Rate_y,Volume_x,Open_x,High_x,Low_x,Close_x,Rate_x,Volume_y,Open_y,High_y,Low_y,Close_y,Rate_y,Volume,Open,High,Low,Close,Rate
2019-04-05 06:00,11193,111.655,111.825,111.561,111.72,58.215037391964294,11089,125.268,125.512,125.221,125.309,32.72982725037265,15762,79.424,79.636,79.258,79.385,-49.10354552780201,46329,146.015,146.560,145.114,145.644,-254.08348457348967,81858,75.409,75.601,75.080,75.212,-261.2420268137791,65563,83.564,83.691,83.298,83.473,-108.89856876166048,96599,111.664,111.779,111.586,111.688,21.49305058031318
2019-04-08 06:00,8600,111.715,111.760,111.284,111.489,-202.30049679989176,9788,125.299,125.616,124.988,125.529,183.5609222739126,13467,79.373,79.508,78.952,79.456,104.56956395751503,43799,145.682,145.781,145.106,145.636,-31.575623618561163,70366,75.218,75.258,74.936,75.156,-82.42707862479408,54245,83.452,83.802,83.230,83.738,342.7119781431258,91757,111.7,111.754,111.418,111.611,-79.67770814682062
2019-04-09 06:00,9542,111.472,111.580,110.980,111.147,-291.55303573990653,11366,125.54,125.620,125.136,125.16,-302.6923689660743,14776,79.434,79.614,79.144,79.168,-334.8691995870674,44653,145.584,146.054,144.789,145.066,-355.8083305857791,57917,75.142,75.257,74.872,74.95,-255.51622261849977,54260,83.732,83.851,83.334,83.382,-418.00028662876116,67234,111.594,111.656,111.041,111.134,-412.2085416778624
2019-04-10 06:00,11277,111.14,111.282,110.844,111.012,-115.17005578549588,13767,125.173,125.454,124.782,125.154,-15.178992274696187,18893,79.179,79.614,79.008,79.612,546.8621730509261,41509,145.04,145.858,144.962,145.308,184.77661334804242,86632,74.952,75.192,74.778,75.082,173.44433770946134,58990,83.402,83.506,83.170,83.358,-52.75652862041309,122124,111.136,111.233,110.590,110.734,-361.7189749496122
2019-04-11 06:00,10042,111.004,111.694,110.908,111.664,594.5731685344642,11153,125.133,125.717,125.033,125.667,426.74594231737916,16025,79.574,79.636,79.427,79.54,-42.7275240656393,42671,145.348,145.956,145.118,145.77,290.33767234499066,79063,75.116,75.216,74.897,75.124,10.650194366041278,58094,83.358,83.528,83.104,83.426,81.57585354734739,102557,110.71,111.310,110.637,111.298,531.1173335742102
2019-04-12 06:00,10394,111.664,112.094,111.586,112.02,318.81358360796185,12581,125.667,126.766,125.646,126.564,713.7912101028842,17476,79.552,80.486,79.462,80.352,1005.6315366049844,37637,145.796,147.016,145.714,146.442,443.08485829516246,84705,75.141,75.894,74.978,75.762,826.446280991729,60801,83.42,84.090,83.412,84.077,787.5809158475143,63406,111.326,111.974,111.278,111.735,367.38946876740926
2019-04-15 06:00,7339,111.972,112.096,111.890,112.038,58.94330725538751,8772,126.578,126.792,126.498,126.654,60.0420294205892,13396,80.374,80.446,80.188,80.365,-11.197650981661162,31539,146.482,147.002,146.356,146.756,187.05369943064738,63199,75.707,75.958,75.597,75.769,81.89467288363272,49019,83.97,84.250,83.638,83.812,-188.16243896629896,82814,111.757,111.826,111.500,111.585,-153.9053482108604
2019-04-16 06:00,9491,112.026,112.048,111.847,112.016,-8.926499205533453,13422,126.629,126.682,126.201,126.369,-205.32421483230942,17006,80.361,80.388,79.892,80.377,19.91015542363974,39228,146.736,146.760,146.015,146.166,-388.4527314360438,81813,75.769,75.824,75.480,75.738,-40.91383019441448,59279,83.805,83.920,83.484,83.908,122.90436131495068,108407,111.569,111.616,111.089,111.14,-384.5154119872026
2019-04-17 06:00,9709,112.01,112.166,111.923,112.069,52.67386840460449,11982,126.457,126.806,126.283,126.566,86.19530749583564,18422,80.321,80.718,80.108,80.423,126.99045081610521,37799,146.132,146.305,145.844,146.118,-9.580379383030413,88238,75.769,75.866,74.668,75.362,-537.1589964233534,64808,83.89,84.358,83.724,83.987,115.62760758134962,108984,111.108,111.257,110.788,110.85,-232.2065017820587
2019-04-18 06:00,11037,112.062,112.066,111.767,111.98,-73.17377880101517,15210,126.58,126.596,125.654,125.729,-672.3021014378252,18470,80.416,80.604,79.912,80.041,-466.32510943095906,45581,146.128,146.156,145.296,145.404,-495.4560385415455,72662,75.363,75.397,74.678,74.83,-707.243607605856,65688,83.999,84.030,83.531,83.693,-364.29005107203346,113628,110.897,110.897,110.180,110.249,-584.3259961946763
2019-04-19 06:00,5797,111.967,112.007,111.897,111.926,-36.61793206926756,3287,125.743,125.884,125.718,125.841,77.93674399370063,7162,80.026,80.119,79.970,80.034,9.996751055919049,79154,145.422,145.600,145.342,145.432,6.876538625511205,47715,74.834,74.928,74.780,74.789,-60.133094582678595,79482,83.71,83.749,83.542,83.573,-163.66025564448748,112467,110.362,110.462,110.208,110.284,-70.67650096952642
2019-04-22 06:00,5121,111.916,111.990,111.860,111.938,19.65760034311946,5122,125.799,126.069,125.750,126.007,165.3431267339155,7602,80.057,80.080,79.776,79.868,-236.081791723406,14490,145.434,145.514,145.221,145.296,-94.8884029869255,36766,74.811,74.880,74.680,74.762,-65.4983892743134,37763,83.61,83.926,83.540,83.86,299.007295778017,53407,110.382,110.390,110.164,110.195,-169.4116794404992
2019-04-23 06:00,8158,111.924,112.034,111.653,111.862,-55.39473213967676,10786,125.989,126.060,125.282,125.599,-309.5508338029515,12732,79.812,79.912,79.260,79.44,-466.0953240114268,34961,145.302,145.628,144.590,144.72,-400.5450716438821,54703,74.758,74.830,74.204,74.411,-464.16437036838096,52329,83.852,83.900,83.184,83.338,-612.9847827124099,104229,110.228,110.256,109.456,109.662,-513.4811481656097
2019-04-24 06:00,10203,111.862,112.400,111.682,112.196,298.5821816166376,15142,125.509,125.604,124.809,125.127,-304.36064345983556,20274,79.384,79.404,78.396,78.643,-933.4374685075074,41078,144.726,145.024,144.404,144.753,18.6559429542631,71636,74.414,74.421,73.664,73.9,-690.7302389335283,74981,83.34,83.349,82.678,83.128,-254.37964962803372,128938,109.624,110.010,109.474,109.94,288.25804568342926
2019-04-25 06:00,13739,112.132,112.238,111.373,111.622,-454.82110369921617,16708,125.108,125.232,124.212,124.361,-597.0841193209067,19861,78.638,78.716,78.106,78.332,-389.1248505811587,41904,144.757,144.882,143.764,144.028,-503.60258916668164,73083,73.989,74.009,73.622,73.967,-29.734149670904557,65105,83.15,83.174,82.550,82.8,-420.92603728203073,114972,109.987,110.026,109.290,109.486,-455.50837826287705
2019-04-26 06:00,16012,111.622,112.034,111.428,111.587,-31.35582591245148,17482,124.369,124.714,124.092,124.458,71.56124114530039,19430,78.312,78.801,78.176,78.607,376.69833486566773,42362,143.984,144.460,143.773,144.19,143.0714523835904,77092,73.964,74.502,73.912,74.305,461.0350981558707,66025,82.778,83.070,82.692,82.948,205.36857619172665,91722,109.48,109.658,109.328,109.521,37.44976251369822
2019-04-29 06:00,7457,111.573,111.900,111.549,111.645,64.53174155037753,9165,124.435,125.098,124.404,124.948,412.26343070678746,10195,78.52,78.946,78.516,78.792,346.40855832909523,29066,144.224,144.720,144.159,144.432,144.22010206345576,45480,74.246,74.586,74.232,74.454,280.1497723783078,41057,82.902,83.208,82.859,82.978,91.67450724951557,83280,109.435,109.756,109.435,109.55,105.08521039886223
2019-04-30 06:00,10762,111.651,111.690,111.238,111.429,-198.8338662439156,14009,124.928,125.092,124.474,125.022,75.24334016394107,16652,78.792,78.930,78.290,78.568,-284.29282160625917,41058,144.592,145.384,144.052,145.286,479.9712293902764,70383,74.424,74.602,74.126,74.404,-26.87305170376522,63505,82.98,83.255,82.618,83.232,303.68763557483163,117801,109.548,109.616,109.146,109.39,-144.2290137656564
2019-05-01 06:00,14611,111.425,111.613,111.050,111.385,-35.89858649314969,13461,125.022,125.234,124.736,124.767,-203.96410231799973,17733,78.538,78.704,78.130,78.135,-513.1274032952094,39280,145.276,145.706,144.496,145.396,82.60139321014904,77282,74.378,74.456,73.744,73.764,-825.5129204872467,60447,83.234,83.362,82.784,82.886,-418.0983732609258,108856,109.352,109.788,109.326,109.46,98.76362572242839
2019-05-02 06:00,10391,111.382,111.666,111.354,111.51,114.91982546551517,13090,124.776,125.125,124.555,124.6,-141.0527665576729,15980,78.14,78.464,77.962,78.063,-98.54108011261606,42374,145.407,145.888,145.094,145.339,-46.76528640300126,66123,73.774,74.099,73.688,73.782,10.843928755382066,60029,82.898,83.075,82.670,82.764,-161.6444305049583,105238,109.442,109.700,109.328,109.418,-21.929423804377386
2019-05-03 06:00,10525,111.518,111.695,111.070,111.096,-378.41424702738306,12952,124.611,124.655,124.282,124.46,-121.17710314499558,15563,78.053,78.185,77.832,78.023,-38.43542208499499,48131,145.319,146.509,144.812,146.386,734.2467261679528,73569,73.798,73.994,73.637,73.828,40.651508170954685,58365,82.794,82.978,82.690,82.782,-14.493803898833796,116312,109.43,109.452,109.168,109.298,-120.62505711414147
2019-05-06 06:00,18205,110.626,110.959,110.282,110.805,161.80644694737407,17227,123.647,124.299,123.365,124.131,391.4369131479086,24616,77.1,77.668,76.794,77.429,426.71854734112554,45808,145.434,145.945,144.994,145.116,-218.6558851437653,83826,73.064,73.470,72.820,73.24,240.88470382131,74043,82.174,82.587,81.786,82.348,211.74580767638471,101724,108.908,109.116,108.558,108.83,-71.6200830058425
2019-05-07 06:00,17973,110.744,110.854,110.170,110.246,-449.6857617568488,17748,124.114,124.253,123.110,123.382,-589.7803632144636,26375,77.422,78.048,77.120,77.304,-152.41145927513497,45363,145.048,145.370,143.868,144.14,-625.9996690750754,89411,73.166,73.408,72.641,72.762,-552.169040264599,74289,82.348,82.566,81.686,81.827,-632.6808179919376,120028,108.791,109.024,107.936,108.131,-606.6678309786624
