Datetime,hour_range,day,Volume,Open,High,Low,Close
2020-06-12 08:00,8,12,5096,107.206,107.346,107.138,107.296
2020-06-12 09:00,9,12,5551,107.294,107.532,107.279,107.518
2020-06-12 10:00,10,12,4840,107.517,107.556,107.332,107.429
2020-06-12 11:00,11,12,4895,107.430,107.510,107.331,107.361
2020-06-12 12:00,12,12,5940,107.362,107.416,107.221,107.393
2020-06-12 13:00,13,12,6798,107.394,107.448,107.220,107.352
2020-06-12 14:00,14,12,10090,107.351,107.456,107.288,107.333
2020-06-12 15:00,15,12,9697,107.332,107.400,107.254,107.371
2020-06-12 16:00,16,12,6123,107.370,107.508,107.357,107.499
2020-06-12 17:00,17,12,5104,107.500,107.524,107.400,107.454
2020-06-12 18:00,18,12,4210,107.456,107.516,107.429,107.444
2020-06-12 19:00,19,12,2781,107.445,107.462,107.378,107.380
2020-06-12 20:00,20,12,842,107.382,107.420,107.342,107.392
2020-06-14 21:00,21,14,198,107.375,107.441,107.307,107.405
2020-06-14 22:00,22,14,1870,107.400,107.570,107.358,107.464
2020-06-14 23:00,23,14,2311,107.466,107.472,107.290,107.326
2020-06-15 00:00,0,15,5154,107.328,107.346,107.147,107.216
2020-06-15 01:00,1,15,3474,107.218,107.328,107.172,107.242
2020-06-15 02:00,2,15,3061,107.244,107.270,107.162,107.180
2020-06-15 03:00,3,15,2377,107.182,107.242,107.163,107.170
2020-06-15 04:00,4,15,2644,107.172,107.183,107.028,107.074
2020-06-15 05:00,5,15,4689,107.072,107.156,107.000,107.130
2020-06-15 06:00,6,15,5957,107.128,107.296,107.128,107.285
2020-06-15 07:00,7,15,5995,107.286,107.436,107.252,107.350
2020-06-15 08:00,8,15,6056,107.352,107.442,107.258,107.307
2020-06-15 09:00,9,15,4656,107.306,107.370,107.261,107.310
2020-06-15 10:00,10,15,3747,107.309,107.387,107.235,107.287
2020-06-15 11:00,11,15,3581,107.286,107.394,107.274,107.366
2020-06-15 12:00,12,15,4893,107.364,107.448,107.308,107.419
2020-06-15 13:00,13,15,6003,107.418,107.495,107.360,107.390
2020-06-15 14:00,14,15,7488,107.389,107.417,107.206,107.400
2020-06-15 15:00,15,15,5565,107.399,107.454,107.330,107.335
2020-06-15 16:00,16,15,3497,107.336,107.356,107.222,107.238
2020-06-15 17:00,17,15,2227,107.238,107.301,107.212,107.296
2020-06-15 18:00,18,15,4741,107.294,107.388,107.282,107.322
2020-06-15 19:00,19,15,2259,107.324,107.382,107.319,107.338
2020-06-15 20:00,20,15,724,107.336,107.390,107.318,107.324
2020-06-15 21:00,21,15,2019,107.339,107.412,107.318,107.370
2020-06-15 22:00,22,15,1295,107.374,107.449,107.334,107.430
2020-06-15 23:00,23,15,2140,107.428,107.502,107.372,107.488
2020-06-16 00:00,0,16,3401,107.489,107.498,107.268,107.322
2020-06-16 01:00,1,16,3230,107.324,107.355,107.233,107.338
2020-06-16 02:00,2,16,3341,107.340,107.642,107.308,107.622
2020-06-16 03:00,3,16,2881,107.620,107.633,107.434,107.450
2020-06-16 04:00,4,16,2179,107.448,107.534,107.396,107.486
2020-06-16 05:00,5,16,2681,107.484,107.532,107.440,107.496
2020-06-16 06:00,6,16,5774,107.497,107.567,107.300,107.422
2020-06-16 07:00,7,16,6423,107.424,107.436,107.300,107.328
2020-06-16 08:00,8,16,4872,107.330,107.457,107.283,107.456
2020-06-16 09:00,9,16,3297,107.455,107.471,107.356,107.362
2020-06-16 10:00,10,16,3587,107.361,107.394,107.282,107.310
2020-06-16 11:00,11,16,3244,107.309,107.333,107.260,107.324
2020-06-16 12:00,12,16,6281,107.324,107.432,107.277,107.406
2020-06-16 13:00,13,16,7417,107.404,107.516,107.372,107.425
2020-06-16 14:00,14,16,11142,107.426,107.625,107.319,107.336
2020-06-16 15:00,15,16,8078,107.336,107.398,107.293,107.358
2020-06-16 16:00,16,16,4086,107.359,107.360,107.214,107.336
2020-06-16 17:00,17,16,1997,107.337,107.368,107.244,107.298
2020-06-16 18:00,18,16,2558,107.297,107.332,107.269,107.282
2020-06-16 19:00,19,16,2382,107.284,107.318,107.254,107.302
2020-06-16 20:00,20,16,898,107.300,107.353,107.292,107.324
2020-06-16 21:00,21,16,120,107.374,107.394,107.294,107.316
2020-06-16 22:00,22,16,599,107.318,107.388,107.312,107.372
2020-06-16 23:00,23,16,1149,107.373,107.436,107.348,107.399
2020-06-17 00:00,0,17,4478,107.398,107.406,107.170,107.331
2020-06-17 01:00,1,17,3102,107.330,107.373,107.218,107.246
2020-06-17 02:00,2,17,2725,107.246,107.286,107.194,107.232
2020-06-17 03:00,3,17,2226,107.232,107.283,107.204,107.268
2020-06-17 04:00,4,17,2157,107.269,107.321,107.213,107.224
2020-06-17 05:00,5,17,2049,107.225,107.261,107.188,107.246
2020-06-17 06:00,6,17,2786,107.244,107.312,107.237,107.268
2020-06-17 07:00,7,17,3925,107.270,107.359,107.258,107.351
2020-06-17 08:00,8,17,3180,107.350,107.442,107.336,107.430
2020-06-17 09:00,9,17,3652,107.428,107.437,107.342,107.364
2020-06-17 10:00,10,17,2655,107.363,107.390,107.346,107.370
2020-06-17 11:00,11,17,2417,107.372,107.383,107.336,107.372
2020-06-17 12:00,12,17,3265,107.374,107.435,107.354,107.384
2020-06-17 13:00,13,17,4787,107.382,107.384,107.261,107.286
2020-06-17 14:00,14,17,7135,107.284,107.305,107.136,107.234
2020-06-17 15:00,15,17,3462,107.234,107.295,107.202,107.273
2020-06-17 16:00,16,17,1906,107.275,107.306,107.253,107.284
2020-06-17 17:00,17,17,1463,107.286,107.286,107.168,107.190
2020-06-17 18:00,18,17,2010,107.191,107.230,107.084,107.103
2020-06-17 19:00,19,17,1759,107.102,107.113,106.952,107.025
2020-06-17 20:00,20,17,733,107.028,107.062,106.958,107.007
2020-06-17 21:00,21,17,128,107.014,107.032,106.968,107.010
2020-06-17 22:00,22,17,519,107.008,107.057,106.988,107.054
2020-06-17 23:00,23,17,1880,107.052,107.052,106.866,106.878
2020-06-18 00:00,0,18,3718,106.880,106.884,106.726,106.796
2020-06-18 01:00,1,18,3269,106.798,106.846,106.705,106.790
2020-06-18 02:00,2,18,2541,106.788,106.898,106.721,106.890
2020-06-18 03:00,3,18,2925,106.892,106.942,106.855,106.863
2020-06-18 04:00,4,18,2535,106.864,106.874,106.752,106.834
2020-06-18 05:00,5,18,2211,106.832,106.904,106.807,106.898
2020-06-18 06:00,6,18,3656,106.897,106.980,106.851,106.928
2020-06-18 07:00,7,18,3750,106.930,106.981,106.854,106.972
2020-06-18 08:00,8,18,4275,106.970,107.076,106.968,107.035
2020-06-18 09:00,9,18,3864,107.034,107.052,106.948,107.025
2020-06-18 10:00,10,18,3541,107.024,107.129,106.996,107.001
2020-06-18 11:00,11,18,4307,107.000,107.032,106.857,106.906
2020-06-18 12:00,12,18,5863,106.905,106.964,106.791,106.796
2020-06-18 13:00,13,18,5779,106.797,106.836,106.746,106.768
2020-06-18 14:00,14,18,6886,106.766,107.013,106.729,106.766
2020-06-18 15:00,15,18,4315,106.767,106.821,106.668,106.790
2020-06-18 16:00,16,18,2552,106.792,106.893,106.772,106.884
2020-06-18 17:00,17,18,2114,106.882,106.952,106.858,106.877
2020-06-18 18:00,18,18,1862,106.878,106.911,106.827,106.830
2020-06-18 19:00,19,18,2338,106.828,107.036,106.815,107.010
2020-06-18 20:00,20,18,1192,107.012,107.099,106.940,106.973
2020-06-18 21:00,21,18,292,107.000,107.018,106.932,106.958
2020-06-18 22:00,22,18,820,106.955,107.006,106.927,106.928
2020-06-18 23:00,23,18,900,106.927,107.060,106.923,107.004
2020-06-19 00:00,0,19,3148,107.006,107.008,106.869,106.925
2020-06-19 01:00,1,19,2149,106.923,106.948,106.881,106.913
2020-06-19 02:00,2,19,1580,106.912,106.960,106.900,106.928
2020-06-19 03:00,3,19,1456,106.930,106.936,106.886,106.910
2020-06-19 04:00,4,19,1774,106.912,106.915,106.831,106.855
2020-06-19 05:00,5,19,1151,106.856,106.874,106.793,106.842
2020-06-19 06:00,6,19,3274,106.842,107.000,106.842,106.902
2020-06-19 07:00,7,19,3321,106.904,106.998,106.874,106.970
2020-06-19 08:00,8,19,2922,106.971,106.982,106.916,106.928
2020-06-19 09:00,9,19,2366,106.929,106.976,106.901,106.930
2020-06-19 10:00,10,19,3044,106.931,106.974,106.898,106.924
2020-06-19 11:00,11,19,2513,106.926,106.927,106.839,106.860
2020-06-19 12:00,12,19,5469,106.858,106.892,106.768,106.869
2020-06-19 13:00,13,19,3847,106.867,106.916,106.796,106.836
2020-06-19 14:00,14,19,6665,106.835,107.046,106.821,106.989
2020-06-19 15:00,15,19,5076,106.988,106.997,106.861,106.900
2020-06-19 16:00,16,19,3029,106.902,106.908,106.817,106.845
2020-06-19 17:00,17,19,2026,106.844,106.893,106.824,106.869
2020-06-19 18:00,18,19,2429,106.870,106.903,106.848,106.873
2020-06-19 19:00,19,19,1380,106.871,106.905,106.802,106.804
2020-06-19 20:00,20,19,763,106.802,106.919,106.796,106.891
2020-06-21 21:00,21,21,94,106.773,106.831,106.770,106.797
2020-06-21 22:00,22,21,1600,106.792,106.882,106.778,106.832
2020-06-21 23:00,23,21,1411,106.830,106.888,106.801,106.840
2020-06-22 00:00,0,22,3401,106.842,106.906,106.769,106.822
2020-06-22 01:00,1,22,3383,106.824,106.947,106.823,106.882
2020-06-22 02:00,2,22,2295,106.880,106.937,106.878,106.892
2020-06-22 03:00,3,22,1754,106.891,106.902,106.860,106.885
2020-06-22 04:00,4,22,1743,106.886,106.932,106.878,106.912
2020-06-22 05:00,5,22,2393,106.912,106.928,106.867,106.878
2020-06-22 06:00,6,22,3187,106.880,106.952,106.856,106.942
2020-06-22 07:00,7,22,4653,106.944,107.012,106.913,106.958
2020-06-22 08:00,8,22,2855,106.959,106.966,106.893,106.903
2020-06-22 09:00,9,22,3176,106.902,106.959,106.901,106.922
2020-06-22 10:00,10,22,2657,106.921,106.930,106.856,106.896
2020-06-22 11:00,11,22,2375,106.896,106.950,106.884,106.938
2020-06-22 12:00,12,22,2440,106.938,106.943,106.857,106.881
2020-06-22 13:00,13,22,4026,106.880,106.924,106.808,106.855
2020-06-22 14:00,14,22,4933,106.854,106.905,106.792,106.892
2020-06-22 15:00,15,22,2773,106.890,106.908,106.816,106.848
2020-06-22 16:00,16,22,2087,106.850,106.896,106.848,106.868
2020-06-22 17:00,17,22,1909,106.869,106.962,106.869,106.940
2020-06-22 18:00,18,22,1525,106.938,106.956,106.898,106.934
2020-06-22 19:00,19,22,1785,106.933,106.950,106.914,106.949
2020-06-22 20:00,20,22,683,106.948,106.958,106.864,106.906
2020-06-22 21:00,21,22,164,106.929,106.930,106.888,106.920
2020-06-22 22:00,22,22,630,106.924,106.928,106.882,106.910
2020-06-22 23:00,23,22,1125,106.908,106.952,106.893,106.898
2020-06-23 00:00,0,23,2282,106.900,106.960,106.876,106.952
2020-06-23 01:00,1,23,8217,106.950,106.959,106.740,106.959
2020-06-23 02:00,2,23,6101,106.961,107.202,106.928,107.166
2020-06-23 03:00,3,23,2285,107.165,107.218,107.125,107.173
2020-06-23 04:00,4,23,2432,107.174,107.222,107.136,107.138
2020-06-23 05:00,5,23,2409,107.136,107.171,107.096,107.114
2020-06-23 06:00,6,23,4087,107.116,107.218,107.088,107.158
2020-06-23 07:00,7,23,5239,107.157,107.196,107.096,107.102
2020-06-23 08:00,8,23,3965,107.103,107.129,107.037,107.042
2020-06-23 09:00,9,23,3838,107.044,107.116,107.018,107.097
2020-06-23 10:00,10,23,2819,107.096,107.106,107.053,107.060
2020-06-23 11:00,11,23,3110,107.058,107.074,106.988,106.994
2020-06-23 12:00,12,23,6905,106.996,107.002,106.521,106.624
2020-06-23 13:00,13,23,7373,106.626,106.640,106.246,106.267
2020-06-23 14:00,14,23,8061,106.268,106.302,106.074,106.238
2020-06-23 15:00,15,23,5298,106.237,106.487,106.216,106.446
2020-06-23 16:00,16,23,2721,106.445,106.502,106.404,106.465
2020-06-23 17:00,17,23,1680,106.466,106.497,106.424,106.464
