Datetime,Volume,Open,High,Low,Close
2020-01-20 17:00,273,110.175,110.184,110.166,110.182
2020-01-20 18:00,375,110.182,110.187,110.167,110.174
2020-01-20 19:00,353,110.176,110.182,110.152,110.158
2020-01-20 20:00,507,110.158,110.170,110.153,110.164
2020-01-20 21:00,401,110.162,110.184,110.148,110.184
2020-01-20 22:00,145,110.188,110.190,110.168,110.177
2020-01-20 23:00,1075,110.176,110.187,110.154,110.176
2020-01-21 00:00,1665,110.178,110.222,110.162,110.212
2020-01-21 01:00,6045,110.212,110.214,109.904,109.947
2020-01-21 02:00,2745,109.948,110.020,109.898,109.974
2020-01-21 03:00,1830,109.972,110.019,109.950,109.971
2020-01-21 04:00,1325,109.972,109.995,109.936,109.968
2020-01-21 05:00,1279,109.970,109.998,109.935,109.936
2020-01-21 06:00,1858,109.938,109.972,109.888,109.906
2020-01-21 07:00,2769,109.908,110.024,109.902,109.977
2020-01-21 08:00,3407,109.979,109.988,109.922,109.964
2020-01-21 09:00,1885,109.965,110.001,109.941,109.956
2020-01-21 10:00,1614,109.958,110.002,109.956,110.001
2020-01-21 11:00,1805,110.002,110.077,110.002,110.056
2020-01-21 12:00,1225,110.054,110.074,110.040,110.042
2020-01-21 13:00,2222,110.044,110.087,109.998,110.064
2020-01-21 14:00,3083,110.062,110.121,110.000,110.000
2020-01-21 15:00,3110,109.998,110.043,109.862,109.908
2020-01-21 16:00,2026,109.910,109.976,109.882,109.959
2020-01-21 17:00,938,109.958,109.976,109.918,109.919
2020-01-21 18:00,3849,109.918,109.950,109.767,109.800
2020-01-21 19:00,2629,109.798,109.828,109.762,109.792
2020-01-21 20:00,1741,109.793,109.848,109.788,109.819
2020-01-21 21:00,1175,109.817,109.876,109.790,109.870
2020-01-21 22:00,215,109.862,109.868,109.837,109.856
2020-01-21 23:00,855,109.858,109.932,109.852,109.912
2020-01-22 00:00,2852,109.911,109.944,109.868,109.900
2020-01-22 01:00,3018,109.902,109.971,109.865,109.904
2020-01-22 02:00,3876,109.902,110.100,109.898,110.054
2020-01-22 03:00,1651,110.055,110.068,110.021,110.030
2020-01-22 04:00,783,110.030,110.044,109.990,110.005
2020-01-22 05:00,1037,110.006,110.049,110.000,110.041
2020-01-22 06:00,1196,110.042,110.062,110.026,110.044
2020-01-22 07:00,1701,110.045,110.048,109.976,110.008
2020-01-22 08:00,2226,110.006,110.008,109.952,109.970
2020-01-22 09:00,1876,109.968,109.992,109.936,109.962
2020-01-22 10:00,1137,109.964,109.988,109.950,109.976
2020-01-22 11:00,1875,109.975,110.007,109.938,109.997
2020-01-22 12:00,1247,109.998,110.001,109.954,109.973
2020-01-22 13:00,1694,109.972,109.997,109.946,109.954
2020-01-22 14:00,2518,109.952,109.965,109.859,109.888
2020-01-22 15:00,2986,109.884,109.941,109.832,109.910
2020-01-22 16:00,2135,109.908,109.936,109.850,109.930
2020-01-22 17:00,1294,109.932,109.938,109.866,109.871
2020-01-22 18:00,1164,109.870,109.916,109.862,109.884
2020-01-22 19:00,1087,109.884,109.914,109.876,109.883
2020-01-22 20:00,1752,109.884,109.889,109.847,109.862
2020-01-22 21:00,951,109.860,109.898,109.838,109.838
2020-01-22 22:00,274,109.835,109.864,109.810,109.831
2020-01-22 23:00,2158,109.832,109.840,109.660,109.738
2020-01-23 00:00,3742,109.738,109.766,109.655,109.672
2020-01-23 01:00,3478,109.673,109.688,109.594,109.646
2020-01-23 02:00,1493,109.645,109.682,109.637,109.661
2020-01-23 03:00,1199,109.660,109.672,109.603,109.610
2020-01-23 04:00,1283,109.610,109.636,109.576,109.616
2020-01-23 05:00,2034,109.617,109.624,109.562,109.581
2020-01-23 06:00,1878,109.582,109.588,109.504,109.551
2020-01-23 07:00,2556,109.550,109.626,109.533,109.608
2020-01-23 08:00,3484,109.606,109.614,109.490,109.537
2020-01-23 09:00,1959,109.536,109.572,109.514,109.530
2020-01-23 10:00,1262,109.532,109.587,109.521,109.578
2020-01-23 11:00,1285,109.577,109.641,109.569,109.634
2020-01-23 12:00,1531,109.633,109.652,109.552,109.596
2020-01-23 13:00,3862,109.595,109.608,109.500,109.530
2020-01-23 14:00,6636,109.530,109.576,109.347,109.385
2020-01-23 15:00,5103,109.386,109.454,109.310,109.372
2020-01-23 16:00,3917,109.373,109.404,109.265,109.400
2020-01-23 17:00,2028,109.399,109.413,109.351,109.356
2020-01-23 18:00,2886,109.354,109.477,109.350,109.474
2020-01-23 19:00,2389,109.472,109.536,109.464,109.523
2020-01-23 20:00,1503,109.521,109.528,109.476,109.494
2020-01-23 21:00,1058,109.495,109.512,109.458,109.494
2020-01-23 22:00,211,109.490,109.541,109.484,109.527
2020-01-23 23:00,928,109.528,109.572,109.506,109.567
2020-01-24 00:00,2458,109.568,109.578,109.510,109.535
2020-01-24 01:00,1978,109.536,109.546,109.440,109.472
